state_abbreviation,state,status,date_details,restriction_start,restriction_end,status_details,external_link,opened_industries,closed_entertainment,closed_food_and_drink,closed_outdoor_and_recreation,opened_houses_of_worship,opened_personal_care,opened_retail,opened_entertainment,opened_food_and_drink,opened_outdoor_and_recreation,population
RI,Rhode Island,pausing,Reopened May 9.,,,"Gov. Gina Raimondo, a Democrat, announced a three-phase reopening plan starting with retail stores after her stay-at-home order lifted on May 8. Rhode Island entered its second phase of reopening in June, with restaurants, gyms, salons and beaches allowed to open. The third phase began June 30 and was extended through the end of September, with indoor gatherings limited to 15 people.",https://www.wpri.com/health/coronavirus/july-29-ri-coronavirus-update/,Offices; Malls,,,,True,"Hair salons, barbershops; Nail salons, massage parlors, tattoo shops",Retail stores,,Restaurant dining,State parks; Beaches; Gyms; Casinos; Campgrounds,1059361
SC,South Carolina,reopened,Reopened April 20.,,,"Gov. Henry McMaster, a Republican, was among the last to issue a stay-at-home order and among the first to begin opening up his state, starting April 20 with retail stores. Mr. McMaster will allow movie theaters, concerts, race tracks or nightclubs to reopen starting August 3, but with a 50 percent capacity limit and a mask requirement. Restaurants will be required to follow the same safety guidelines.",https://www.wbtv.com/2020/07/29/sc-governor-announces-targeted-mask-requirements-reopens-more-businesses/,,,,,True,"Salons, barbershops, tattoo parlors, etc.",Retail stores,"Museums, zoos, aquariums; Movie theaters, stadiums, festival parades, racetracks; Nightclubs",Restaurant dining; Bars,"Beaches, piers, docks, etc.; Gyms; Pools; Amusement parks, water parks",5148714
SD,South Dakota,reopened,Updated guidance for businesses and residents on April 28.,,,"Gov. Kristi Noem, a Republican, refused to issue a stay-at-home order — despite requests from local officials — and did not close businesses in the state, though she ordered them to follow C.D.C. guidelines. She invited workers and business owners frustrated by lockdowns in other states to visit South Dakota.",https://www.usnews.com/news/best-states/south-dakota/articles/2020-04-28/south-dakota-governor-to-unveil-plan-to-reopen-state,,,,,True,"Salons, barbershops",Retail stores,,Restaurant dining,Gyms,884659
TN,Tennessee,reopening,Reopened April 27.,,,"Gov. Bill Lee, a Republican, announced reopening plans for 89 of 95 Tennessee counties starting April 27. The remaining counties were to follow individual reopening plans.",https://www.wsmv.com/news/tennessee-releases-new-guidelines-for-reopening-restaurants-retail-and-large-attractions/article_0f74cd22-9ad3-11ea-9f03-e3784e1e4029.html,,,,,True,"Salons, barbershops, etc.",Retail stores,"Theaters, museums, amusement parks",Restaurant dining,State parks; Gyms,6829174
TX,Texas,reversing,Reopened May 1.,,,"Gov. Greg Abbott allowed his stay-at-home order to lapse on April 30, a move that gave Texas one of the shortest such orders in the country. A surge in cases in late June caused Mr. Abbott to order bars to close and restaurants to reduce capacity, among the first reopening reversals in the country. Starting July 3, he once again encouraged Texans to stay home and required face coverings in public places in counties with more than 20 cases. Starting September 21, restaurants, retail stores, gyms, libraries and museums can increase capacity to 75%.",https://www.texastribune.org/2020/06/26/texas-bars-restaurants-coronavirus-greg-abbott/,"Offices, manufacturing",,Bars,,True,"Salons, barbershops, etc.; Massage services","Retail stores, malls","Movie theaters, museums, libraries; Bowling alleys, bingo halls, skating rinks, rodeos; Aquariums; Amusement parks; Carnivals",Restaurant dining,State parks; Pools; Gyms; Water parks; Zoos,28995881
UT,Utah,reopened,Reopened May 1.,,,"Gov. Gary R. Herbert, a Republican, started to reopen Utah by region on May 1. Now, just one county remains at “moderate risk,” and restaurants, gyms and salons are open everywhere.",https://www.sltrib.com/news/2020/04/28/utah-will-begin-easing/,,,,,True,"Salons, personal care businesses",Retail stores,"Movie theatres, museums, libraries, concerts",Restaurant dining,Gyms; Pools,3205958
VA,Virginia,reopened,Reopened May 15.,,,"Gov. Ralph Northam, a Democrat, started reopening much of the state on May 15, and all counties moved into Phase 3 on July 1. Starting July 31, Mr. Northam will implement restrictions on restaurants and bars in some counties and public gatherings will be limited. ",https://www.wsls.com/news/2020/06/30/bar-seating-will-be-prohibited-in-virginia-restaurants-during-phase-3-gov-northam-says/,,,,,True,"Salons, barbershops, etc.",Retail stores,"Museums, zoos, aquariums, outdoor concerts",Restaurants and bars,Campgrounds; Beaches; Gyms; Pools,8535519
VT,Vermont,reopened,Reopened May 15.,,,"Gov. Phil Scott, a Republican, allowed small changes, such as the opening of farmers’ markets, before a broader reopening beginning with retail stores on May 18. Other businesses, such as gyms and restaurants, reopened in June. Face masks are required in both indoor and outdoor public spaces.",https://vtdigger.org/2020/07/24/scott-orders-mask-mandate/,"Manufacturing, construction, distribution",,,,True,"Hair salons and barbershops; Nail salons, spas, tattoo parlors",Retail stores,"Museums, theaters, libraries",Restaurant dining; Bars,"State parks, golf courses, trails, etc.; Campgrounds; Gyms, fitness centers",623989
WA,Washington,reopening,Reopened May 26.,,,"While every county has now moved into some phase of reopening, Gov. Jay Inslee, a Democrat, said in late July that he would pause further reopenings and expanded an order to use face coverings in all public spaces. Restaurants, gyms and movie theaters must reduce capacity in some counties. On August 20, Mr. Inslee allowed museums and bowling alleys to operate in some counties, and as of September 11, gyms in all counties can reopen.",https://www.spokesman.com/stories/2020/aug/20/inslee-cautiously-pleased-with-states-covid-number/,Construction,,,,True,"Hair salons, barbershops, tattoo parlors, etc.; Pet grooming",Retail stores,Casinos; Museums in some counties; Bowling alleys  in some counties,Restaurant dining in most counties,"State parks, fishing, hunting, golf courses; Gyms",7614893
WI,Wisconsin,reopened,Reopened May 13.,,,"The state Supreme Court struck down Gov. Tony Evers's stay-at-home order on May 13, effectively lifting statewide restrictions on businesses in Wisconsin. Mr. Evers, a Democrat in a highly contested battleground state, had already announced plans for a gradual reopening but warned the ruling would cause “chaos.” Some counties have since placed their own restrictions on businesses. Mr. Evers mandated the use of face coverings in all public indoor places starting August 1. ",https://www.jsonline.com/story/news/2020/05/14/wisconsin-bars-hair-salons-dine-restaurants-open-after-supreme-court-ruling-stay-home-order-evers/5194195002/,,,,,True,"Pet groomers for curbside dropoff; Hair salons, spas, barbershops",Retail stores,,Restaurants and bars,Golf courses; State parks; Gyms,5822434
WV,West Virginia,reopened,Reopened May 4.,,,"West Virginia’s stay-at-home order was in place for a little more than a month. Gov. Jim Justice, a Republican, lifted restrictions on certain businesses on May 4, with new reopenings each following week. Starting July 7, face coverings are required where social distance can’t be maintained. The governor limited social gatherings to 25 people, ordered the closure of fairs, festivals and concerts statewide. Mr. Justice ordered the closure of bars in Monongalia County.",https://www.wvnstv.com/top-stories/coming-soon-wv-covid-19-update-july-13-2020/,,,,,True,"Salons, barbershops, pet groomers; Tanning salons; Massage parlors and spas",Retail stores; Malls,"Museums, zoos; Bowling alleys, pool halls, roller rinks; Casinos; Movie theaters; Amusement parks, fairs, festivals",Restaurant dining; Bars,"Gyms, recreation centers; State parks, campgrounds; Pools",1792147
WY,Wyoming,reopened,Reopened May 1.,,,"Gov. Mark Gordon, a Republican, did not order Wyoming residents to stay home, and he began lifting restrictions on businesses on May 1. As of August 16, outdoor venues were allowed to hold gatherings of up to 1,000 people, and in September, indoor close-contact sports resumed. The governor recently extended safety measures on restaurants, bars, gyms and schools through September 30. ",https://cowboystatedaily.com/2020/09/15/gordon-extends-health-orders-for-fifth-time/,,,,,True,"Hair salons, barbershops, tattoo parlors, massage therapy, etc.",Retail stores,"Movie theaters, entertaiment venues",Restaurant dining; Bars,Gyms; State parks,578759
